Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery,taster_name,taster_twitter_handle,title
124070,Spain,"Aromas of spiced cherry and cassis are schisty and belie this Cabernet-heavy wine's age. A narrow palate with firm tannins and not much give sets up flavors of oak, lemon peel, plum and berry fruits. A lasting finish with deep berry flavors and a topping of oak doesn't lose steam. Drink through 2025.",Finca La Planeta,92,44.0,Catalonia,Priorat,,Red Blend,Celler Pasanau,Michael Schachner,@wineschach,Celler Pasanau 2008 Finca La Planeta Red (Priorat)
124071,Germany,"A crush of wet slate persists throughout this lean, lime-scented dry Riesling. Crisp green plum and gooseberry flavors are punchy and fresh on the palate, but minerality takes center stage here, augmented by a luminous spray of lemon-lime acidity. Drink now through 2025.",Wallhäuser Johannisberg GG Erste Lage Trocken,92,70.0,Nahe,,,Riesling,Prinz Salm,Anna Lee C. Iijima,,Prinz Salm 2014 Wallhäuser Johannisberg GG Erste Lage Trocken Riesling (Nahe)
124072,US,"This vineyard-designate expresses the variety with great finesse, offering softly layered black cherry, plum and just a hint of meat. Tobacco, earth and dried currant ride out the finish.",Blau Vineyard,92,55.0,California,Knights Valley,Sonoma,Malbec,Judge Palmer,Virginie Boone,@vboone,Judge Palmer 2013 Blau Vineyard Malbec (Knights Valley)
124073,Australia,"Less effusive on the nose than the Mort's Block, this boasts notes of tangerine zest and lemon. This dry, medium-bodied Riesling hints at riper fruit flavors yet stays resolutely citrusy through the long, electric finish.",Killerman's Run,92,20.0,South Australia,Clare Valley,,Riesling,Kilikanoon,Joe Czerwinski,@JoeCz,Kilikanoon 2014 Killerman's Run Riesling (Clare Valley)
124074,Argentina,"Concentrated full-force aromas of mixed black fruits come with notes of cheesy oak and animal hide. This is not your usual 15% abv bruiser even though it's full-bodied and burly. The key is racy acidity and a 14.2% alcohol level, which allows toasty, chocolaty berry flavors to show a mild herbal element as well as choppy freshness on the finish. Drink through 2022.",Encuentro Barrel Blend,92,50.0,Other,Argentina,,Bordeaux-style Red Blend,Rutini,Michael Schachner,@wineschach,Rutini 2012 Encuentro Barrel Blend Red (Argentina)
124075,Australia,"Grilled-toast notes swirl around the bouquet of this cassis-scented wine. Leafy elements add complexity without being green, while a lifted cherry element brings vibrancy to the mix. This firm, structured wine features a long, mouthwatering finish that bodes well for cellaring. Try it after 2020.",St Andrews Single Vineyard Release,92,60.0,South Australia,Clare Valley,,Cabernet Sauvignon,Wakefield,Joe Czerwinski,@JoeCz,Wakefield 2013 St Andrews Single Vineyard Release Cabernet Sauvignon (Clare Valley)
124076,US,"The producer ferrets out some of the best from the appellation, combining 75% of the grapes for this wine from Hudson Vineyards and the remainder from Hyde Vineyards. An inaugural release, it's a showcase of stemmy earth and rose petals set against an ethereal backdrop. Baked rhubarb adds further flavor, seasoned in clove.",,92,35.0,California,Carneros,Napa-Sonoma,Pinot Noir,Davies,Virginie Boone,@vboone,Davies 2014 Pinot Noir (Carneros)
124077,Argentina,"Rich, rooty berry, cola, coffee and toasty black-fruit aromas get this Malbec blend off to a nice start. Flush and fruity on the palate, this offers black cherry, cassis, toast, black pepper and herbal flavors. A forward, hard-driving finish is lightly medicinal in flavor. Drink through 2022.",Ameri,92,35.0,Mendoza Province,Tupungato,,Red Blend,Domaine Bousquet,Michael Schachner,@wineschach,Domaine Bousquet 2012 Ameri Red (Tupungato)
124078,Italy,"Underbrush, herb and woodland berry aromas take center stage in this fragrant red. The full-bodied palate deals morello cherry, cranberry and licorice, alongside firm, refined tannins. Drink through 2018–2023.",Cascina Nuova,92,58.0,Piedmont,Barolo,,Nebbiolo,Elvio Cogno,Kerin O’Keefe,@kerinokeefe,Elvio Cogno 2012 Cascina Nuova  (Barolo)
124079,Germany,"Whispers of fresh green herbs and lavender lend elegance and refreshment to intensely ripe yet pristine black cherry and plum flavors. The palate is succulent and juicy, marked by crisp, cutting acidity. Fine, velvety tannins cushion a long finish. Drinks well now but should hold beautifully till at least 2024.",Schwarzer Adler,92,25.0,Baden,,,Pinot Noir,Franz Keller,Anna Lee C. Iijima,,Franz Keller 2014 Schwarzer Adler Pinot Noir (Baden)
